date,exchange_rate
1033037764000,9.393
1033119665000,9.426
1033122483000,9.426
1033134004000,9.376
1033376224000,9.341
1033381923000,9.34
1033395035000,9.344
1033396624000,9.305
1033463326000,9.316
1033470672000,9.347
1033473021000,9.353
1033549875000,9.375
1033555273000,9.371
1033565925000,9.389
1033635189000,9.343
1033640741000,9.359
1033659150000,9.377
1033722365000,9.386
1033742526000,9.37
1033981514000,9.358
1033994682000,9.377
1034003671000,9.402
1034006165000,9.41
1034070092000,9.415
1034083982000,9.371
1034090291000,9.389
1034153968000,9.387
1034156775000,9.365
1034160380000,9.35
1034171239000,9.366
1034240953000,9.368
1034243065000,9.391
1034246372000,9.4
1034250479000,9.418
1034326940000,9.466
1034328691000,9.456
1034343199000,9.437
1034586473000,9.463
1034607013000,9.483
1034672251000,9.466
1034679569000,9.522
1034681439000,9.506
1034688248000,9.499
1034694060000,9.536
1034759198000,9.527
1034781036000,9.56
1034845278000,9.526
1034855299000,9.505
1034860527000,9.518
1034932087000,9.491
1034937796000,9.487
1034944404000,9.545
1034948912000,9.519
1034956682000,9.503
1035191457000,9.579
1035196565000,9.529
1035203643000,9.48
1035213510000,9.515
1035215956000,9.461
1035277278000,9.453
1035279425000,9.48
1035297710000,9.471
1035364052000,9.473
1035368705000,9.493
1035449768000,9.484
1035462824000,9.496
1035536745000,9.492
1035545254000,9.501
1035795657000,9.516
1035798509000,9.523
1035803696000,9.503
1035816908000,9.505
1035882124000,9.505
1035884902000,9.526
1035889946000,9.544
1035901924000,9.503
1035969114000,9.519
1035971671000,9.496
1035975176000,9.509
1035990474000,9.535
1036054883000,9.541
1036057863000,9.511
1036070150000,9.511
1036079478000,9.5
1036140952000,9.508
1036143871000,9.472
1036152511000,9.499
1036162693000,9.53
1036166679000,9.516
1036400255000,9.498
1036417602000,9.471
1036424712000,9.508
1036486860000,9.509
1036491768000,9.557
1036495340000,9.537
1036502489000,9.532
1036573612000,9.539
1036577988000,9.523
1036583872000,9.503
1036659707000,9.524
1036661254000,9.56
1036746065000,9.543
1036748627000,9.535
1036755709000,9.545
1036763050000,9.507
1036767273000,9.508
1037005608000,9.534
1037012972000,9.543
1037023278000,9.509
1037091388000,9.495
1037094171000,9.492
1037111946000,9.498
1037178546000,9.518
1037181450000,9.523
1037183180000,9.493
1037186788000,9.472
1037199634000,9.493
1037264527000,9.487
1037269455000,9.459
1037351452000,9.454
1037371123000,9.459
1037609727000,9.479
1037611862000,9.449
1037614716000,9.464
1037697848000,9.482
1037718070000,9.468
1037782414000,9.426
1037789172000,9.451
1037803758000,9.472
1037808061000,9.485
1037808522000,9.492
1037869253000,9.49
1037871136000,9.521
1037877670000,9.511
1037955505000,9.589
1037973457000,9.555
1038215193000,9.563
1038233056000,9.509
1038301607000,9.502
1038315064000,9.489
1038387723000,9.467
1038391319000,9.43
1038406038000,9.438
1038413216000,9.419
1038474827000,9.409
1038562599000,9.424
1038819918000,9.471
1038822900000,9.433
1038833611000,9.451
1038836083000,9.421
1038906197000,9.428
1038916730000,9.441
1038992813000,9.4
1039012816000,9.39
1039079315000,9.387
1039161643000,9.427
1039165828000,9.441
1039181354000,9.433
1039188772000,9.441
1039425047000,9.43
1039426298000,9.389
1039448004000,9.389
1039511120000,9.377
1039524796000,9.392
1039536114000,9.378
1039597693000,9.398
1039616346000,9.38
1039684004000,9.371
1039688559000,9.323
1039693208000,9.286
1039694089000,9.306
1039706031000,9.323
1039710136000,9.337
1039770385000,9.327
1039794485000,9.257
1040029737000,9.261
1040036087000,9.311
1040115605000,9.357
1040132869000,9.354
1040138729000,9.326
1040201849000,9.294
1040211433000,9.322
1040288769000,9.305
1040293579000,9.35
1040302845000,9.36
1040374046000,9.343
1040377188000,9.355
1040380553000,9.323
1040383598000,9.303
1040634523000,9.331
1040638182000,9.33
1040647587000,9.278
1040650433000,9.256
1040658215000,9.275
1040979735000,9.289
1040996606000,9.264
1041004985000,9.225
1041239112000,9.219
1041241967000,9.197
1041257134000,9.215
1041261367000,9.228
1041263653000,9.258
1041325692000,9.246
1041329036000,9.22
1041584779000,9.268
1041587751000,9.257
1041600553000,9.271
1041843949000,9.313
1041851510000,9.353
1041858843000,9.321
1041930832000,9.301
1041931928000,9.278
1041945668000,9.284
1041949698000,9.309
1042016474000,9.304
1042026641000,9.315
1042034326000,9.322
1042102709000,9.333
1042104670000,9.363
1042110294000,9.339
1042122074000,9.3
1042124316000,9.311
1042190173000,9.296
1042200634000,9.277
1042211760000,9.241
1042448699000,9.203
1042454841000,9.19
1042467232000,9.128
1042473937000,9.151
1042535649000,9.159
1042545462000,9.181
1042621468000,9.157
1042626138000,9.188
1042632985000,9.203
1042644123000,9.192
1042708068000,9.183
1042713035000,9.143
1042720107000,9.157
1042727752000,9.152
1042794239000,9.183
1042798526000,9.177
1042817500000,9.173
1043053294000,9.165
1043070804000,9.201
1043139573000,9.198
1043152861000,9.227
1043226225000,9.181
1043243290000,9.188
1043250008000,9.176
1043312728000,9.164
1043324652000,9.181
1043335907000,9.195
1043398246000,9.203
1043405787000,9.185
1043423302000,9.204
1043658237000,9.209
1043744497000,9.201
1043752186000,9.2
1043830854000,9.193
1043847768000,9.223
1043917024000,9.159
1043932295000,9.109
1043940411000,9.114
1044003851000,9.1
1044006374000,9.089
1044010879000,9.048
1044012660000,9.048
1044262554000,8.992
1044273660000,8.987
1044348488000,8.995
1044357409000,9.018
1044435967000,9.01
1044438203000,8.948
1044452427000,8.936
1044458756000,8.987
1044460578000,9.03
1044522249000,9.044
1044524323000,9.076
1044525646000,9.041
1044533207000,9.012
1044547256000,9.008
1044608516000,8.967
1044611651000,8.964
1044619940000,9.006
1044626269000,8.996
1044628633000,9.011
1044632599000,9.038
1044868284000,9.045
1044870529000,9.081
1044879282000,9.108
1044887217000,9.112
1044954090000,9.104
1044958835000,9.012
1044963014000,9.054
1044969883000,9.064
1044972157000,9.049
1045042495000,9.06
1045048093000,9.092
1045059553000,9.059
1045065358000,9.096
1045126505000,9.126
1045131082000,9.083
1045135965000,9.147
1045146658000,9.17
1045151303000,9.173
1045213980000,9.172
1045233645000,9.169
1045237900000,9.192
1045472742000,9.165
1045475172000,9.196
1045487713000,9.227
1045494182000,9.255
1045495691000,9.276
1045498236000,9.315
1045559121000,9.309
1045562074000,9.35
1045570346000,9.306
1045573503000,9.318
1045581232000,9.333
1045645186000,9.308
1045651201000,9.317
1045651521000,9.325
1045658953000,9.337
1045662607000,9.325
1045732299000,9.314
1045734209000,9.288
1045739268000,9.25
1045750703000,9.252
1045756641000,9.272
1045817747000,9.274
1045833179000,9.267
1045842637000,9.288
1046077377000,9.251
1046085503000,9.235
1046098830000,9.267
1046163568000,9.283
1046166719000,9.265
1046182087000,9.273
1046187448000,9.248
1046189359000,9.238
1046250230000,9.246
1046336620000,9.248
1046340022000,9.219
1046345616000,9.229
1046350591000,9.244
1046356270000,9.201
1046423122000,9.197
1046426405000,9.172
1046432974000,9.174
1046442800000,9.17
1046445821000,9.143
1046682811000,9.132
1046699273000,9.116
1046768639000,9.119
1046772055000,9.149
1046782880000,9.15
1046854721000,9.158
1046857314000,9.187
1046874481000,9.186
1046941307000,9.158
1046956857000,9.131
1046965376000,9.176
1047027210000,9.18
1047030144000,9.168
1047042396000,9.163
1047286918000,9.161
1047295868000,9.165
1047308352000,9.176
1047310654000,9.197
1047313368000,9.214
1047373654000,9.213
1047377726000,9.186
1047396267000,9.125
1047397849000,9.123
1047460202000,9.124
1047462175000,9.152
1047467230000,9.165
1047475385000,9.174
1047479469000,9.13
1047545596000,9.121
1047548990000,9.091
1047556233000,9.082
1047556515000,9.078
1047569864000,9.106
1047632086000,9.13
1047640826000,9.133
1047641106000,9.135
1047652098000,9.162
1047655071000,9.154
1047891381000,9.164
1047901870000,9.173
1047916820000,9.154
1047977893000,9.136
1047985275000,9.122
1047997714000,9.114
1048001901000,9.152
1048003437000,9.184
1048064189000,9.211
1048071581000,9.193
1048076972000,9.21
1048082105000,9.204
1048150510000,9.221
1048154783000,9.212
1048160372000,9.229
1048171810000,9.247
1048236605000,9.253
1048239891000,9.272
1048241643000,9.283
1048254169000,9.266
1048254818000,9.256
1048262425000,9.215
1048495467000,9.219
1048509061000,9.212
1048517425000,9.165
1048521829000,9.107
1048582349000,9.12
1048585234000,9.077
1048597788000,9.06
1048602130000,9.069
1048668812000,9.07
1048673266000,9.102
1048679033000,9.144
1048684803000,9.121
1048691507000,9.134
1048755321000,9.126
1048758419000,9.104
1048759253000,9.112
1048775339000,9.087
1048776461000,9.072
1048780044000,9.068
1048842476000,9.042
1048844568000,9.008
1048845090000,9.035
1048850688000,9.01
1048861338000,9.021
1049099764000,9.019
1049104900000,9.015
1049111718000,9.025
1049112000000,9.025
1049113756000,9.048
1049123911000,9.083
1049126585000,9.052
1049187500000,9.074
1049190806000,9.054
1049193802000,9.112
1049194985000,9.092
1049203318000,9.114
1049274048000,9.063
1049279966000,9.052
1049281910000,9.068
1049284342000,9.069
1049359874000,9.048
1049361755000,9.047
1049378828000,9.068
1049382856000,9.094
1049445109000,9.128
1049451607000,9.152
1049457091000,9.119
1049705794000,9.104
1049712296000,9.125
1049717327000,9.143
1049729778000,9.127
1049792146000,9.142
1049796840000,9.159
1049802420000,9.13
1049812391000,9.138
1049814203000,9.161
1049878270000,9.183
1049880925000,9.152
1049886514000,9.171
1049894041000,9.142
1049901968000,9.142
1049964787000,9.171
1049971975000,9.146
1049973638000,9.147
1049976200000,9.178
1049977874000,9.183
1049987929000,9.187
1050051511000,9.161
1050062833000,9.12
1050067558000,9.111
1050071071000,9.116
1050072745000,9.103
1050075866000,9.137
1050076876000,9.157
1050310476000,9.172
1050330461000,9.141
1050396771000,9.122
1050404476000,9.097
1050416099000,9.087
1050484513000,9.092
1050485315000,9.051
1050491550000,9.058
1050501180000,9.055
1050503447000,9.025
1051002246000,9.068
1051003547000,9.062
1051005371000,9.085
1051010216000,9.101
1051017361000,9.126
1051023272000,9.083
1051088318000,9.095
1051094042000,9.106
1051098238000,9.109
1051098680000,9.13
1051099982000,9.116
1051109442000,9.125
1051110655000,9.148
1051261201000,9.152
1051263315000,9.183
1051263807000,9.159
1051270297000,9.15
1051281042000,9.117
1051518952000,9.1
1051531443000,9.089
1051537919000,9.089
1051543755000,9.078
1051606847000,9.067
1051609539000,9.086
1051616495000,9.085
1051625561000,9.12
1051629336000,9.134
1051692857000,9.168
1051696809000,9.179
1051707456000,9.2
1051710260000,9.187
1051712923000,9.201
1051718339000,9.172
1051865708000,9.195
1051867682000,9.17
1051868526000,9.154
1051873398000,9.189
1051881103000,9.137
1051884012000,9.18
1051887856000,9.189
1052125278000,9.179
1052135514000,9.21
1052143242000,9.204
1052211497000,9.219
1052214530000,9.192
1052222625000,9.211
1052237227000,9.204
1052297962000,9.211
1052316832000,9.193
1052383728000,9.164
1052387141000,9.193
1052390283000,9.215
1052392337000,9.228
1052399202000,9.254
1052407055000,9.272
1052472915000,9.26
1052474966000,9.24
1052491158000,9.214
1052730033000,9.197
1052732244000,9.151
1052735167000,9.166
1052753284000,9.124
1052755997000,9.145
1052815968000,9.126
1052825052000,9.131
1052831795000,9.152
1052840682000,9.14
1052902630000,9.133
1052910714000,9.136
1052926923000,9.161
1052989021000,9.133
1052994842000,9.158
1053002410000,9.15
1053075827000,9.131
1053083972000,9.166
1053085214000,9.193
1053086095000,9.168
1053093391000,9.195
1053100516000,9.213
1053335489000,9.219
1053338233000,9.305
1053344140000,9.328
1053354267000,9.295
1053422441000,9.307
1053423422000,9.335
1053426333000,9.354
1053440917000,9.371
1053507360000,9.36
1053509572000,9.384
1053510613000,9.354
1053513934000,9.328
1053523371000,9.334
1053529768000,9.326
1053593210000,9.277
1053605123000,9.276
1053609168000,9.249
1053612252000,9.222
1053618876000,9.237
1053680319000,9.24
1053693079000,9.178
1053699377000,9.163
1053701290000,9.191
1053702201000,9.191
1053706668000,9.199
1053939534000,9.189
1053941846000,9.178
1053943529000,9.191
1053950302000,9.203
1053952144000,9.219
1053959070000,9.208
1053961244000,9.212
1054025609000,9.225
1054027779000,9.248
1054029369000,9.263
1054039257000,9.282
1054050037000,9.27
1054051410000,9.287
1054112278000,9.301
1054116935000,9.325
1054119804000,9.285
1054131637000,9.316
1054285292000,9.325
1054287302000,9.305
1054289835000,9.258
1054293847000,9.292
1054310366000,9.269
1054544266000,9.263
1054558567000,9.274
1054561129000,9.271
1054563210000,9.291
1054569829000,9.304
1054630831000,9.318
1054633922000,9.324
1054643746000,9.335
1054647800000,9.353
1054651554000,9.337
1054717309000,9.363
1054719351000,9.412
1054724914000,9.419
1054726075000,9.412
1054726925000,9.404
1054729097000,9.398
1054732530000,9.404
1054736185000,9.399
1054739558000,9.415
1054743420000,9.388
1054803660000,9.382
1054808951000,9.358
1054810804000,9.376
1054813047000,9.352
1054817651000,9.39
1054823168000,9.419
1054825490000,9.393
1054826001000,9.402
1054891767000,9.402
1054903169000,9.415
1055237279000,9.3945
1055248420000,9.402
1055322022000,9.424
1055330085000,9.452
1055339197000,9.497
1055345825000,9.514
1055347888000,9.527
1055408731000,9.515
1055414304000,9.499
1055417946000,9.484
1055433147000,9.514
1055433886000,9.523
1055494795000,9.525
1055496996000,9.52
1055498758000,9.488
1055501910000,9.52
1055502572000,9.553
1055503534000,9.573
1055506330000,9.555
1055520546000,9.555
1055753537000,9.564
1055765904000,9.54
1055770478000,9.524
1055930572000,9.515
1055932684000,9.513
1055942039000,9.482
1055948293000,9.455
1056013145000,9.437
1056025052000,9.44
1056099433000,9.438
1056103375000,9.478
1056104167000,9.5
1056104417000,9.513
1056109671000,9.512
1056116958000,9.519
1056122242000,9.538
1056360921000,9.51
1056361350000,9.534
1056363704000,9.518
1056365137000,9.539
1056378267000,9.513
1056379948000,9.525
1056382397000,9.537
1056443832000,9.532
1056449215000,9.52
1056454399000,9.536
1056459715000,9.583
1056467064000,9.561
1056471357000,9.571
1056529849000,9.575
1056533421000,9.622
1056533952000,9.667
1056540474000,9.643
1056546092000,9.617
1056546744000,9.609
1056548706000,9.631
1056616922000,9.583
1056619897000,9.553
1056627234000,9.505
1056628857000,9.509
1056638240000,9.499
1056639660000,9.514
1056702926000,9.519
1056709953000,9.516
1056713563000,9.481
1056720346000,9.505
1056721788000,9.52
1056724984000,9.51
1056962176000,9.521
1056965907000,9.501
1056966328000,9.512
1056967719000,9.524
1056970171000,9.529
1056974204000,9.481
1056976468000,9.492
1056982825000,9.534
1056985899000,9.537
1057050059000,9.54
1057051723000,9.577
1057056713000,9.563
1057063764000,9.592
1057134953000,9.556
1057144439000,9.571
1057146980000,9.584
1057147792000,9.603
1057157159000,9.588
1057160600000,9.588
1057222128000,9.587
1057229036000,9.567
1057231666000,9.534
1057239019000,9.573
1057239301000,9.573
1057307701000,9.559
1057325955000,9.545
1057334814000,9.535
1057335093000,9.507
1057567567000,9.451
1057573513000,9.451
1057582708000,9.517
1057653507000,9.539
1057657778000,9.564
1057668892000,9.599
1057671922000,9.626
1057677008000,9.616
1057740412000,9.633
1057744857000,9.657
1057748420000,9.637
1057751912000,9.626
1057757218000,9.672
1057758218000,9.63
1057826977000,9.602
1057835354000,9.599
1057841110000,9.605
1057844745000,9.569
1057849842000,9.588
1057912558000,9.61
1057917572000,9.556
1057921596000,9.515
1057923999000,9.544
1057926559000,9.545
1058172125000,9.504
1058176586000,9.531
1058181270000,9.536
1058191264000,9.52
1058256187000,9.548
1058258319000,9.55
1058271634000,9.556
1058277788000,9.559
1058281101000,9.539
1058345818000,9.52
1058363535000,9.497
1058432477000,9.483
1058451629000,9.452
1058458403000,9.455
1058518231000,9.469
1058520424000,9.501
1058522287000,9.49
1058538091000,9.453
1058777692000,9.447
1058781486000,9.477
1058785259000,9.471
1058798624000,9.469
1058864199000,9.487
1058866904000,9.515
1058870734000,9.519
1058871016000,9.523
1058871657000,9.522
1058873448000,9.503
1058949857000,9.52
1058957925000,9.521
1058961578000,9.526
1058973117000,9.582
1059036075000,9.596
1059044089000,9.604
1059061957000,9.586
1059122243000,9.591
1059128989000,9.591
1059136276000,9.571
1059139058000,9.582
1059382292000,9.589
1059387467000,9.581
1059390181000,9.578
1059407268000,9.568
1059465652000,9.573
1059468513000,9.569
1059475042000,9.554
1059478417000,9.549
1059488034000,9.565
1059493368000,9.56
1059554936000,9.541
1059565841000,9.538
1059572146000,9.539
1059580225000,9.54
1059642371000,9.537
1059651929000,9.535
1059658674000,9.504
1059663328000,9.473
1059728199000,9.453
1059730571000,9.491
1059741847000,9.478
1059750646000,9.515
1060075276000,9.559
1060078199000,9.547
1060082854000,9.538
1060093522000,9.583
1060097186000,9.58
1060160010000,9.593
1060163803000,9.578
1060175785000,9.606
1060178579000,9.639
1060180962000,9.622
1060249714000,9.616
1060255651000,9.573
1060260684000,9.596
1060263016000,9.601
1060267330000,9.603
1060270995000,9.623
1060332348000,9.615
1060336622000,9.633
1060337855000,9.617
1060338135000,9.612
1060343091000,9.633
1060349401000,9.609
1060352714000,9.634
1060355998000,9.634
1060592574000,9.613
1060600578000,9.621
1060606034000,9.614
1060609047000,9.628
1060612258000,9.641
1060678199000,9.652
1060684644000,9.67
1060687646000,9.682
